id,place_id,segmento,nome_empresa,categoria,endereco,cidade,estado,cep,telefone,whatsapp,email,website,horario_funcionamento,avaliacao,total_avaliacoes,url,source_file,created_at
e7b4fc5b-3d71-44d4-8cff-e76e9d3f1149,0x9496a32bcec0f7f7:0xbb850b8cc8689344,auto peças,Marcão Auto Peças,Loja de autopeças,"R. Valter Mota Ramazini, 60 - Vila Jamil de Lima, Adamantina - SP, 17805-392",Adamantina,SP,17805-392,(18) 3522-9011,N/A,N/A,N/A,N/A,"5,0",6,https://www.google.com/maps/place/Marc%C3%A3o+Auto+Pe%C3%A7as/data=!4m7!3m6!1s0x9496a32bcec0f7f7:0xbb850b8cc8689344!8m2!3d-21.6787961!4d-51.0667039!16s%2Fg%2F11mwhf65nn!19sChIJ9_fAziujlpQRRJNoyIwLhbs?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
3625f67b-cca8-4676-b1a4-d41db61b0c6d,0x9496a3c61c024e5d:0x49d5cba266fe160c,auto peças,Auto Peças Paulo Cobo,Loja de acessórios para caminhões,"Alameda José Sichieri, 933 - Parque do Sol, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,(18) 3521-1286,N/A,N/A,N/A,N/A,"3,5",11,https://www.google.com/maps/place/Auto+Pe%C3%A7as+Paulo+Cobo/data=!4m7!3m6!1s0x9496a3c61c024e5d:0x49d5cba266fe160c!8m2!3d-21.6723205!4d-51.0654016!16s%2Fg%2F11d_tqnr_k!19sChIJXU4CHMajlpQRDBb-ZqLL1Uk?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
70ec505b-759c-444b-b5cf-705014c10f2e,0x9496a3729d2e7dfb:0x8a9ca05bd2b28378,auto peças,Satélite Auto Peças,Loja de autopeças,"R. Nove de Julho, 393 - Centro, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,(18) 3521-4147,N/A,N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/place/Sat%C3%A9lite+Auto+Pe%C3%A7as/data=!4m7!3m6!1s0x9496a3729d2e7dfb:0x8a9ca05bd2b28378!8m2!3d-21.6843162!4d-51.0761931!16s%2Fg%2F11rd49y6p5!19sChIJ-30unXKjlpQReIOy0lugnIo?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
434696fa-deac-40bb-9429-2fe6592a1492,0x9496a31addfdf9e5:0x61ed5bdf431bf9a1,auto peças,R1 Distribuidora de Som,Loja de acessórios automotivos,"R. Líbero Badaró, 35 - Vila Jamil de Lima, Adamantina - SP, 17805-390",Adamantina,SP,17805-390,(18) 99685-5235,N/A,N/A,N/A,N/A,"5,0",1,https://www.google.com/maps/place/R1+Distribuidora+de+Som/data=!4m7!3m6!1s0x9496a31addfdf9e5:0x61ed5bdf431bf9a1!8m2!3d-21.6798184!4d-51.0672699!16s%2Fg%2F11n_yqcy42!19sChIJ5fn93RqjlpQRofkbQ99b7WE?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
16aba016-18c4-4dad-865e-86babf928fab,0x9496a3db46021091:0x8ddacc992f0760a,auto peças,Auto Peças Zg,Loja de autopeças,"Av. Mal. Castelo Branco, 310 - Vila Jamil de Lima, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,(18) 99722-1781,N/A,N/A,N/A,N/A,"4,3",11,https://www.google.com/maps/place/Auto+Pe%C3%A7as+Zg/data=!4m7!3m6!1s0x9496a3db46021091:0x8ddacc992f0760a!8m2!3d-21.6793193!4d-51.0687326!16s%2Fg%2F11gfd3_b4r!19sChIJkRACRtujlpQRCnbwksms3Qg?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
dc05f6c8-8611-489f-9b3b-1c9132b59d26,0x9496a3db4f3b4ffd:0x9cb62c420cdc2978,auto peças,J.C Garcia Lopes Adamantina ME,Loja de autopeças,"Av. Mal. Castelo Branco, 310 - Vila Jamil de Lima, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,(18) 3521-1788,N/A,N/A,N/A,N/A,"4,2",30,https://www.google.com/maps/place/J.C+Garcia+Lopes+Adamantina+ME/data=!4m7!3m6!1s0x9496a3db4f3b4ffd:0x9cb62c420cdc2978!8m2!3d-21.6795305!4d-51.0689359!16s%2Fg%2F1v16rd7q!19sChIJ_U87T9ujlpQReCncDEIstpw?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
7dd2ca4f-9b51-4820-a25d-0228eb399968,0x9496a3f6cf8f1f6d:0xa1acae065ad7ccd,auto peças,Estrela do Oeste,Loja de autopeças,"Av. Antonio Tiveron, 798 - Vila Jamil de Lima, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,(18) 3521-4838,N/A,N/A,N/A,N/A,"4,5",12,https://www.google.com/maps/place/Estrela+do+Oeste/data=!4m7!3m6!1s0x9496a3f6cf8f1f6d:0xa1acae065ad7ccd!8m2!3d-21.6815978!4d-51.0710382!16s%2Fg%2F11fflydnk0!19sChIJbR-Pz_ajlpQRzXytZeDKGgo?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
be3ab0eb-324f-45ac-9635-c130a95566e6,0x9496a1808cdc1c0f:0x4e478313e9b3a0a7,auto peças,Adapecas Adamantina Comércio de Peças Usadas,Loja de autopeças,"Rod. Cmte. João Ribeiro de Barros, 585 - Lot. Comercial, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,(18) 3521-2513,N/A,N/A,N/A,N/A,"4,5",11,https://www.google.com/maps/place/Adapecas+Adamantina+Com%C3%A9rcio+de+Pe%C3%A7as+Usadas/data=!4m7!3m6!1s0x9496a1808cdc1c0f:0x4e478313e9b3a0a7!8m2!3d-21.6829438!4d-51.0546339!16s%2Fg%2F11b6hhc7kk!19sChIJDxzcjIChlpQRp6Cz6RODR04?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
131ce5f8-6f71-43a2-9664-04214a246e62,0x9496a3e7833b48cf:0xd0a0632a29d90719,auto peças,GUSTAVO AUTO PEÇAS,Loja de autopeças,"Av. Rio Branco, 931 - Centro, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.google.com/maps/place/GUSTAVO+AUTO+PE%C3%87AS/data=!4m7!3m6!1s0x9496a3e7833b48cf:0xd0a0632a29d90719!8m2!3d-21.6828344!4d-51.0755615!16s%2Fg%2F11x6w5165k!19sChIJz0g7g-ejlpQRGQfZKSpjoNA?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
ba4af6ab-e774-45b0-baf8-72cea4bd43fd,0x9496a3d919edba13:0xe7f72e7a5297fe6e,auto peças,Copava Peças Serviços,Loja de autopeças,"Av. Antonio Tiveron, 278 - Vila Jardim, Adamantina - SP, 17800-000",Adamantina,SP,17800-000,(18) 3522-4411,N/A,N/A,N/A,N/A,"5,0",25,https://www.google.com/maps/place/Copava+Pe%C3%A7as+Servi%C3%A7os/data=!4m7!3m6!1s0x9496a3d919edba13:0xe7f72e7a5297fe6e!8m2!3d-21.6843313!4d-51.0694958!16s%2Fg%2F1vljhfcq!19sChIJE7rtGdmjlpQRbv6XUnou9-c?authuser=0&hl=pt-BR&rclk=1,,2026-03-19T07:58:52.033132+00:00
